description,price,site,url
"Terreno urbano, representado pelo lote nº 004A da quadra 003, do Loteamento Osvaldo Bruch (Agrupamento Corticeira III), situado na Rua Hermínio Stringari, bairro Corticeira, em Guaramirim/SC, contendo a área de 316,00m², com a seguinte descrição: Imóvel de frente medindo 16,10m para a Rua sem denominação oficial, de quem da referida rua olha o imóvel, pela lateral direita onde mede 20,30m, confronta com o lote nº 004B, pela lateral esquerda onde mede 20,10m confronta com o lote nº 003, e no travessão fundos onde mede 15,20m confronta com o Loteamento Valquiria Bruch, fechando o perímetro com a extensão total de 71,70m, matrícula nº 29.660 do CRI da Comarca de Guaramirim/SC","R$ 100.000,00",Santa Catarina leiloes,http://www.santacatarinaleiloes.com.br/lotes/index/id/18
description,price,site,url
"
COMPRA IMEDIATA 
 
Casa 140m² 
Terreno 250m² 
Rua Severo Ribeiro de Camargo, 192, bairro Maracanã 
","R$ 247.200,00",Kronberg Leilões,https://www.kronbergleiloes.com.br/leilao/detalhe_leilao/10637#conteudo
description,price,site,url
"
COMPRA IMEDIATA 
 
Casa 140m² 
Terreno 250m² 
Rua Severo Ribeiro de Camargo, 192, bairro Maracanã 
","R$ 247.200,00",Kronberg Leilões,https://www.kronbergleiloes.com.br/leilao/detalhe_leilao/10637#conteudo
description,price,site,url
"
COMPRA IMEDIATA 
 
Casa 140m² 
Terreno 250m² 
Rua Severo Ribeiro de Camargo, 192, bairro Maracanã 
","R$ 247.200,00",Kronberg Leilões,https://www.kronbergleiloes.com.br/leilao/detalhe_leilao/10637#conteudo
description,price,site,url
"
COMPRA IMEDIATA 
 
Casa 140m² 
Terreno 250m² 
Rua Severo Ribeiro de Camargo, 192, bairro Maracanã 
","R$ 247.200,00",Kronberg Leilões,https://www.kronbergleiloes.com.br/leilao/detalhe_leilao/10637#conteudo
description,price,site,url
"
COMPRA IMEDIATA 
 
Casa 140m² 
Terreno 250m² 
Rua Severo Ribeiro de Camargo, 192, bairro Maracanã 
","R$ 247.200,00",Kronberg Leilões,https://www.kronbergleiloes.com.br/leilao/detalhe_leilao/10637#conteudo
description,price,site,url
"
         
         
         
     
                   Lote 1) IMÓVEL URBANO EM MEDIANEIRA
                  https://rochaleiloes.com.br/lote/14349",,rocha leiloes,https://rochaleiloes.com.br/lote/14349/imovel-urbano-em-medianeira-leilao-3912 https://rochaleiloes.com.br/lote/14349/imovel-urbano-em-medianeira-leilao-3912 https://rochaleiloes.com.br/lote/14349/imovel-urbano-em-medianeira-leilao-3912
"
         
         
         
     
                   Lote 1) TERRENO URBANO EM MEDIANEIRA
                  https://rochaleiloes.com.br/lote/14350",,rocha leiloes,https://rochaleiloes.com.br/lote/14350/terreno-urbano-em-medianeira-leilao-3913 https://rochaleiloes.com.br/lote/14350/terreno-urbano-em-medianeira-leilao-3913 https://rochaleiloes.com.br/lote/14350/terreno-urbano-em-medianeira-leilao-3913
description,price,site,url
"
COMPRA IMEDIATA 
 
Casa 140m² 
Terreno 250m² 
Rua Severo Ribeiro de Camargo, 192, bairro Maracanã 
","R$ 247.200,00",Kronberg Leilões,h
description,price,site,url
"
COMPRA IMEDIATA 
 
Casa 140m² 
Terreno 250m² 
Rua Severo Ribeiro de Camargo, 192, bairro Maracanã 
","R$ 247.200,00",Kronberg Leilões,https://www.kronbergleiloes.com.br/leilao/detalhe_leilao/10637#conteudo
description,price,site,url
"
         
         
         
     
                   Lote 1) IMÓVEL URBANO EM MEDIANEIRA
                  https://rochaleiloes.com.br/lote/14349",,rocha leiloes,https://rochaleiloes.com.br/lote/14349/imovel-urbano-em-medianeira-leilao-3912
"
         
         
         
     
                   Lote 1) TERRENO URBANO EM MEDIANEIRA
                  https://rochaleiloes.com.br/lote/14350",,rocha leiloes,https://rochaleiloes.com.br/lote/14350/terreno-urbano-em-medianeira-leilao-3913
description,price,site,url
"LOTE URBANO N° 5-D, da quadra n° 34, com a área de 506, 15m², situado no ""Bairro Jardinópolis"", município de Serranópolis do Iguaçu, nesta Comarca, sem benfeitorias, tendo os...",,rocha leiloes,https://rochaleiloes.com.br/lote/14349/imovel-urbano-em-medianeira-leilao-3912
"LOTE URBANO N° 05-A, da quadra n° 26, com área de 625.00m2, situado no Bairro JARDINOPOLIS"", em Serranópolis do Iguaçu, nesta Comarca, sem benfeitorias, com os seguintes limites e...",,rocha leiloes,https://rochaleiloes.com.br/lote/14350/terreno-urbano-em-medianeira-leilao-3913
description,price,site,url
"LOTE URBANO N° 5-D, da quadra n° 34, com a área de 506, 15m², situado no ""Bairro Jardinópolis"", município de Serranópolis do Iguaçu, nesta Comarca, sem benfeitorias, tendo os...","R$ 52.043,72",rocha leiloes,https://rochaleiloes.com.br/lote/14349/imovel-urbano-em-medianeira-leilao-3912
"LOTE URBANO N° 05-A, da quadra n° 26, com área de 625.00m2, situado no Bairro JARDINOPOLIS"", em Serranópolis do Iguaçu, nesta Comarca, sem benfeitorias, com os seguintes limites e...","R$ 100.000,00",rocha leiloes,https://rochaleiloes.com.br/lote/14350/terreno-urbano-em-medianeira-leilao-3913
description,price,site,url
"LOTE URBANO N° 5-D, da quadra n° 34, com a área de 506, 15m², situado no ""Bairro Jardinópolis"", município de Serranópolis do Iguaçu, nesta Comarca, sem benfeitorias, tendo os...","R$ 52.043,72",rocha leiloes,https://rochaleiloes.com.br/lote/14349/imovel-urbano-em-medianeira-leilao-3912
"LOTE URBANO N° 05-A, da quadra n° 26, com área de 625.00m2, situado no Bairro JARDINOPOLIS"", em Serranópolis do Iguaçu, nesta Comarca, sem benfeitorias, com os seguintes limites e...","R$ 100.000,00",rocha leiloes,https://rochaleiloes.com.br/lote/14350/terreno-urbano-em-medianeira-leilao-3913
description,price,site,url
"
COMPRA IMEDIATA 
 
Casa 140m² 
Terreno 250m² 
Rua Severo Ribeiro de Camargo, 192, bairro Maracanã 
","R$ 247.200,00",Kronberg Leilões,https://www.kronbergleiloes.com.br/leilao/detalhe_leilao/10637#conteudo
description,price,site,url
"Terreno urbano, representado pelo lote nº 004A da quadra 003, do Loteamento Osvaldo Bruch (Agrupamento Corticeira III), situado na Rua Hermínio Stringari, bairro Corticeira, em Guaramirim/SC, contendo a área de 316,00m², com a seguinte descrição: Imóvel de frente medindo 16,10m para a Rua sem denominação oficial, de quem da referida rua olha o imóvel, pela lateral direita onde mede 20,30m, confronta com o lote nº 004B, pela lateral esquerda onde mede 20,10m confronta com o lote nº 003, e no travessão fundos onde mede 15,20m confronta com o Loteamento Valquiria Bruch, fechando o perímetro com a extensão total de 71,70m, matrícula nº 29.660 do CRI da Comarca de Guaramirim/SC","R$ 100.000,00",Santa Catarina leiloes,http://www.santacatarinaleiloes.com.br/lotes/index/id/18
description,price,site,url
