Leilões, Prédio, R$ 5.388.083,99, https://www.leiloes.com.br/agenda-de-leiloes/3044/244705, Prédio - São Paulo - SP 
Leilões, Apartamento, R$ 1.069.971,62, https://www.leiloes.com.br/agenda-de-leiloes/3044/244836, Apartamento - São Paulo - SP 
Leilões, Apartamento, R$ 329.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3044/244837, Apartamento - Santo André - SP 
Leilões, Não Identificado, R$ 109.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3047/244995, Sala - Americana - SP 
Leilões, Não Identificado, R$ 160.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3047/244996, Sala - Americana - SP 
Leilões, Apartamento, R$ 108.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3047/244997, Apartamento - Americana - SP 
Leilões, Apartamento, R$ 170.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3047/244998, Apartamento - Americana - SP 
Leilões, Apartamento, R$ 200.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3047/244999, Apartamento - Americana - SP 
Leilões, Edifício residencial, R$ 150.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3047/245000, Prédio Residencial - Araraquara - SP 
Leilões, Apartamento, R$ 224.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3071/245928, Apartamento - São Paulo - SP 
Leilões, Prédio, R$ 1.607.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3071/245929, Prédio Industrial - São Paulo - SP 
Leilões, Apartamento, R$ 275.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3071/245930, Apartamento - São Paulo - SP 
Leilões, Prédio, R$ 5.388.083,99, https://www.leiloes.com.br/agenda-de-leiloes/3044/244705, Prédio - São Paulo - SP 
Leilões, Apartamento, R$ 1.069.971,62, https://www.leiloes.com.br/agenda-de-leiloes/3044/244836, Apartamento - São Paulo - SP 
Leilões, Apartamento, R$ 329.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3044/244837, Apartamento - Santo André - SP 
Leilões, Não Identificado, R$ 109.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3047/244995, Sala - Americana - SP 
Leilões, Não Identificado, R$ 160.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3047/244996, Sala - Americana - SP 
Leilões, Apartamento, R$ 108.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3047/244997, Apartamento - Americana - SP 
Leilões, Apartamento, R$ 170.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3047/244998, Apartamento - Americana - SP 
Leilões, Apartamento, R$ 200.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3047/244999, Apartamento - Americana - SP 
Leilões, Edifício residencial, R$ 150.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3047/245000, Prédio Residencial - Araraquara - SP 
Leilões, Apartamento, R$ 224.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3071/245928, Apartamento - São Paulo - SP 
Leilões, Prédio, R$ 1.607.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3071/245929, Prédio Industrial - São Paulo - SP 
Leilões, Apartamento, R$ 275.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3071/245930, Apartamento - São Paulo - SP 
Leilões, Não Identificado, R$ 336.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3082/247180, Sala - São Paulo - SP 
Leilões, Apartamento, R$ 1.370.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3080/247441, Apartamento - São Bernardo do Campo - SP 
Leilões, Terreno, R$ 120.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3082/247182, Terreno - Joanópolis - SP 
Leilões, Apartamento, R$ 248.327,94, https://www.leiloes.com.br/agenda-de-leiloes/3080/247513, Apartamento - Ribeirão Preto - SP 
Leilões, Não Identificado, R$ 80.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3083/247202, Sala - Americana - SP 
Leilões, Terreno, R$ 120.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3082/247183, Terreno - Joanópolis - SP 
Leilões, Não Identificado, R$ 120.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3083/247203, Sala - Americana - SP 
Leilões, Terreno, R$ 120.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3082/247184, Terreno - Joanópolis - SP 
Leilões, Apartamento, R$ 1.792.924,04, https://www.leiloes.com.br/agenda-de-leiloes/3080/247753, Apartamento - São Bernardo do Campo - SP 
Leilões, Apartamento, R$ 80.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3083/247204, Apartamento - Americana - SP 
Leilões, Apartamento, R$ 130.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3083/247205, Apartamento - Americana - SP 
Leilões, Apartamento, R$ 160.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3083/247206, Apartamento - Americana - SP 
Leilões, Não Identificado, R$ 336.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3082/247180, Sala - São Paulo - SP 
Leilões, Apartamento, R$ 1.370.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3080/247441, Apartamento - São Bernardo do Campo - SP 
Leilões, Terreno, R$ 120.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3082/247182, Terreno - Joanópolis - SP 
Leilões, Apartamento, R$ 248.327,94, https://www.leiloes.com.br/agenda-de-leiloes/3080/247513, Apartamento - Ribeirão Preto - SP 
Leilões, Não Identificado, R$ 80.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3083/247202, Sala - Americana - SP 
Leilões, Terreno, R$ 120.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3082/247183, Terreno - Joanópolis - SP 
Leilões, Não Identificado, R$ 120.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3083/247203, Sala - Americana - SP 
Leilões, Terreno, R$ 120.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3082/247184, Terreno - Joanópolis - SP 
Leilões, Apartamento, R$ 1.792.924,04, https://www.leiloes.com.br/agenda-de-leiloes/3080/247753, Apartamento - São Bernardo do Campo - SP 
Leilões, Apartamento, R$ 80.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3083/247204, Apartamento - Americana - SP 
Leilões, Apartamento, R$ 130.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3083/247205, Apartamento - Americana - SP 
Leilões, Apartamento, R$ 160.000,00, https://www.leiloes.com.br/agenda-de-leiloes/3083/247206, Apartamento - Americana - SP 
CentralSul,Não Identificado,-,https://www.centralsuldeleiloes.com.br/leilao/5600/2a-vara-civel-de-laguna-sc-20,Laguna/SC - 2ª Vara Cível
CentralSul,Não Identificado,-,https://www.centralsuldeleiloes.com.br/leilao/5600/2a-vara-civel-de-laguna-sc-20,1ª Vara Cível de Laguna/SC
CentralSul,Não Identificado,-,https://www.centralsuldeleiloes.com.br/leilao/5600/2a-vara-civel-de-laguna-sc-20,1ª Vara Cível de Laguna/SC
CentralSul,Não Identificado,-,https://www.centralsuldeleiloes.com.br/leilao/5600/2a-vara-civel-de-laguna-sc-20,2ª Vara Cível de Laguna/SC
CentralSul,Não Identificado,-,https://www.centralsuldeleiloes.com.br/leilao/5600/2a-vara-civel-de-laguna-sc-20,1ª Vara Cível de Laguna/SC
CentralSul,Não Identificado,-,https://www.centralsuldeleiloes.com.br/leilao/5600/2a-vara-civel-de-laguna-sc-20,Venda Direta da 1º Vara Federal de Laguna/SC
CentralSul,Não Identificado,-,https://www.centralsuldeleiloes.com.br/leilao/5600/2a-vara-civel-de-laguna-sc-20,2ª Vara Federal de Criciúma/SC
CentralSul,Não Identificado,-,https://www.centralsuldeleiloes.com.br/leilao/5600/2a-vara-civel-de-laguna-sc-20,Laguna/SC - 2ª Vara Cível
CentralSul,Não Identificado,-,https://www.centralsuldeleiloes.com.br/leilao/5600/2a-vara-civel-de-laguna-sc-20,1ª Vara Cível de Laguna/SC
CentralSul,Não Identificado,-,https://www.centralsuldeleiloes.com.br/leilao/5600/2a-vara-civel-de-laguna-sc-20,1ª Vara Cível de Laguna/SC
CentralSul,Não Identificado,-,https://www.centralsuldeleiloes.com.br/leilao/5600/2a-vara-civel-de-laguna-sc-20,2ª Vara Cível de Laguna/SC
CentralSul,Não Identificado,-,https://www.centralsuldeleiloes.com.br/leilao/5600/2a-vara-civel-de-laguna-sc-20,1ª Vara Cível de Laguna/SC
CentralSul,Não Identificado,-,https://www.centralsuldeleiloes.com.br/leilao/5600/2a-vara-civel-de-laguna-sc-20,Venda Direta da 1º Vara Federal de Laguna/SC
CentralSul,Não Identificado,-,https://www.centralsuldeleiloes.com.br/leilao/5600/2a-vara-civel-de-laguna-sc-20,2ª Vara Federal de Criciúma/SC
CentralSul,Não Identificado,-,https://www.centralsuldeleiloes.com.br/leilao/5600/2a-vara-civel-de-laguna-sc-20,Laguna/SC - 2ª Vara Cível
CentralSul,Não Identificado,-,https://www.centralsuldeleiloes.com.br/leilao/5600/2a-vara-civel-de-laguna-sc-20,1ª Vara Cível de Laguna/SC
CentralSul,Não Identificado,-,https://www.centralsuldeleiloes.com.br/leilao/5600/2a-vara-civel-de-laguna-sc-20,1ª Vara Cível de Laguna/SC
CentralSul,Não Identificado,-,https://www.centralsuldeleiloes.com.br/leilao/5600/2a-vara-civel-de-laguna-sc-20,2ª Vara Cível de Laguna/SC
CentralSul,Não Identificado,-,https://www.centralsuldeleiloes.com.br/leilao/5600/2a-vara-civel-de-laguna-sc-20,1ª Vara Cível de Laguna/SC
CentralSul,Não Identificado,-,https://www.centralsuldeleiloes.com.br/leilao/5600/2a-vara-civel-de-laguna-sc-20,Venda Direta da 1º Vara Federal de Laguna/SC
CentralSul,Não Identificado,-,https://www.centralsuldeleiloes.com.br/leilao/5600/2a-vara-civel-de-laguna-sc-20,2ª Vara Federal de Criciúma/SC
CentralSul,Não Identificado,-,https://www.centralsuldeleiloes.com.br/leilao/5600/2a-vara-civel-de-laguna-sc-20,Laguna/SC - 2ª Vara Cível
CentralSul,Não Identificado,-,https://www.centralsuldeleiloes.com.br/leilao/5600/2a-vara-civel-de-laguna-sc-20,1ª Vara Cível de Laguna/SC
CentralSul,Não Identificado,-,https://www.centralsuldeleiloes.com.br/leilao/5600/2a-vara-civel-de-laguna-sc-20,1ª Vara Cível de Laguna/SC
CentralSul,Não Identificado,-,https://www.centralsuldeleiloes.com.br/leilao/5600/2a-vara-civel-de-laguna-sc-20,2ª Vara Cível de Laguna/SC
CentralSul,Não Identificado,-,https://www.centralsuldeleiloes.com.br/leilao/5600/2a-vara-civel-de-laguna-sc-20,1ª Vara Cível de Laguna/SC
CentralSul,Não Identificado,-,https://www.centralsuldeleiloes.com.br/leilao/5600/2a-vara-civel-de-laguna-sc-20,Venda Direta da 1º Vara Federal de Laguna/SC
CentralSul,Não Identificado,-,https://www.centralsuldeleiloes.com.br/leilao/5600/2a-vara-civel-de-laguna-sc-20,2ª Vara Federal de Criciúma/SC
