Leilões Judiciais,Casa,"R$ 19.800,00",http://www.leiloesjudiciaismg.com.br/externo/lote/detalhes/2491168,"Parte ideal de 16,66% sobre terreno c/ 320m², c/ casa, lote 13, quadra 05, R. Sete de Setembro, 180, Vl. Primavera, CRI 683. (PARCELAMENTO DA ARREMATAÇÃO PELA FN ATÉ O VALOR DE R$ 15.620,35, O RESTANTE DEVERÁ SER PAGO À VISTA) (Proc. 0085705-16.2004.8.13.0251) (R$ 33.000,00) BRAGANCA PAULISTA/SP"
Leilões Judiciais,Terreno,"R$ 24.580,17",http://www.rigolonleiloes.com.br/externo/lote/detalhes/2512650,"Terreno c/ 360m², lote 13, quadra 133, R. Paraíba, Jardim Marajá, CRI 11.064.(PARCELAMENTO DA ARREMATAÇÃO EM ATÉ 30X, SENDO QUE 25% DO VALOR DA ARREMATAÇÃO DEVE SER PAGO À VISTA) (Proc. 1001043-56.2018.8.26.0411) (R$ 30.725,23)(Obs.: Sobre a parte da cônjuge não incide desconto)Descrição completa: Conforme artigo 893 do CPC, lotes unificados terão preferência sobre os lotes desmembrados, assim, havendo lance no lote unificado, encerra-se a disputa nos lotes desmembrados PACAEMBU/SP"
Leilões Judiciais,Terreno,"R$ 24.580,17",http://www.rigolonleiloes.com.br/externo/lote/detalhes/2512646,"Terreno c/ 360m², lote 09, quadra 133, R. Minas Gerais, Jardim Marajá, CRI 11.060. (PARCELAMENTO DA ARREMATAÇÃO EM ATÉ 30X, SENDO QUE 25% DO VALOR DA ARREMATAÇÃO DEVE SER PAGO À VISTA) (Proc. 1001043-56.2018.8.26.0411) (R$ 30.725,23)(Obs.: Sobre a parte da cônjuge não incide desconto)Descrição completa: Conforme artigo 893 do CPC, lotes unificados terão preferência sobre os lotes desmembrados, assim, havendo lance no lote unificado, encerra-se a disputa nos lotes desmembrados. PACAEMBU/SP"
Leilões Judiciais,Terreno,"R$ 24.580,17",http://www.rigolonleiloes.com.br/externo/lote/detalhes/2512653,"Terreno c/ 360m², lote 02, quadra 135, R. São Salvador, Jardim Marajá, CRI 11.067. (PARCELAMENTO DA ARREMATAÇÃO EM ATÉ 30X, SENDO QUE 25% DO VALOR DA ARREMATAÇÃO DEVE SER PAGO À VISTA) (Proc. 1001043-56.2018.8.26.0411) (R$ 30.725,23)(Obs.: Sobre a parte da cônjuge não incide desconto)Descrição completa: Conforme artigo 893 do CPC, lotes unificados terão preferência sobre os lotes desmembrados, assim, havendo lance no lote unificado, encerra-se a disputa nos lotes desmembrados. PACAEMBU/SP"
Leilões Judiciais,Terreno,"R$ 24.580,17",http://www.rigolonleiloes.com.br/externo/lote/detalhes/2512645,"Terreno c/ 360m², lote 08, quadra 133, R. Minas Gerais, Jardim Marajá, CRI 11.059. (PARCELAMENTO DA ARREMATAÇÃO EM ATÉ 30X, SENDO QUE 25% DO VALOR DA ARREMATAÇÃO DEVE SER PAGO À VISTA) (Proc. 1001043-56.2018.8.26.0411) (R$ 30.725,23)(Obs.: Sobre a parte da cônjuge não incide desconto)Descrição completa: Conforme artigo 893 do CPC, lotes unificados terão preferência sobre os lotes desmembrados, assim, havendo lance no lote unificado, encerra-se a disputa nos lotes desmembrados. PACAEMBU/SP"
Leilões Judiciais,Terreno,"R$ 24.580,17",http://www.rigolonleiloes.com.br/externo/lote/detalhes/2512649,"Terreno c/ 360m², lote 12, quadra 133, R. Paraíba, Jardim Marajá, CRI 11.063.(PARCELAMENTO DA ARREMATAÇÃO EM ATÉ 30X, SENDO QUE 25% DO VALOR DA ARREMATAÇÃO DEVE SER PAGO À VISTA) (Proc. 1001043-56.2018.8.26.0411) (R$ 30.725,23)(Obs.: Sobre a parte da cônjuge não incide desconto)Descrição completa: Conforme artigo 893 do CPC, lotes unificados terão preferência sobre os lotes desmembrados, assim, havendo lance no lote unificado, encerra-se a disputa nos lotes desmembrados. PACAEMBU/SP"
Leilões Judiciais,Terreno,"R$ 24.580,17",http://www.rigolonleiloes.com.br/externo/lote/detalhes/2512648,"Terreno c/ 360m², lote 11, quadra 133, R. Paraíba, Jardim Marajá, CRI 11.062. (PARCELAMENTO DA ARREMATAÇÃO EM ATÉ 30X, SENDO QUE 25% DO VALOR DA ARREMATAÇÃO DEVE SER PAGO À VISTA)(Proc. 1001043-56.2018.8.26.0411) (R$ 30.725,23)(Obs.: Sobre a parte da cônjuge não incide desconto)Descrição completa: Conforme artigo 893 do CPC, lotes unificados terão preferência sobre os lotes desmembrados, assim, havendo lance no lote unificado, encerra-se a disputa nos lotes desmembrados. PACAEMBU/SP"
Leilões Judiciais,Terreno,"R$ 24.580,17",http://www.rigolonleiloes.com.br/externo/lote/detalhes/2512652,"Terreno c/ 360m², lote 01, quadra 135, R. São Salvador c/ R. Minas Gerais, Jardim Marajá, CRI 11.066. (PARCELAMENTO DA ARREMATAÇÃO EM ATÉ 30X, SENDO QUE 25% DO VALOR DA ARREMATAÇÃO DEVE SER PAGO À VISTA) (Proc. 1001043-56.2018.8.26.0411) (R$ 30.725,23)(Obs.: Sobre a parte da cônjuge não incide desconto)Descrição completa: Conforme artigo 893 do CPC, lotes unificados terão preferência sobre os lotes desmembrados, assim, havendo lance no lote unificado, encerra-se a disputa nos lotes desmembrados. PACAEMBU/SP"
Leilões Judiciais,Terreno,"R$ 24.580,17",http://www.rigolonleiloes.com.br/externo/lote/detalhes/2512651,"Terreno c/ 360m², lote 14, quadra 133, R. Paraíba c/ R. Minas Gerais, Jardim Marajá, CRI 11.065. (PARCELAMENTO DA ARREMATAÇÃO EM ATÉ 30X, SENDO QUE 25% DO VALOR DA ARREMATAÇÃO DEVE SER PAGO À VISTA) (Proc. 1001043-56.2018.8.26.0411) (R$ 30.725,23)(Obs.: Sobre a parte da cônjuge não incide desconto)Descrição completa: Conforme artigo 893 do CPC, lotes unificados terão preferência sobre os lotes desmembrados, assim, havendo lance no lote unificado, encerra-se a disputa nos lotes desmembrados. PACAEMBU/SP"
Leilões Judiciais,Terreno,"R$ 24.580,17",http://www.rigolonleiloes.com.br/externo/lote/detalhes/2512647,"Terreno c/ 360m², lote 10, quadra 133, R. Paraíba c/ Av. Brasil, Jardim Marajá, CRI 11.061. (PARCELAMENTO DA ARREMATAÇÃO EM ATÉ 30X, SENDO QUE 25% DO VALOR DA ARREMATAÇÃO DEVE SER PAGO À VISTA) (Proc. 1001043-56.2018.8.26.0411) (R$ 30.725,23)(Obs.: Sobre a parte da cônjuge não incide desconto)Descrição completa: Conforme artigo 893 do CPC, lotes unificados terão preferência sobre os lotes desmembrados, assim, havendo lance no lote unificado, encerra-se a disputa nos lotes desmembrados. PACAEMBU/SP"
Leilões Judiciais,Terreno,"R$ 24.580,17",http://www.rigolonleiloes.com.br/externo/lote/detalhes/2512660,"Terreno c/ 360m², lote 09, quadra 135, R. Ceará, Jardim Marajá, CRI 11.074.(PARCELAMENTO DA ARREMATAÇÃO EM ATÉ 30X, SENDO QUE 25% DO VALOR DA ARREMATAÇÃO DEVE SER PAGO À VISTA) (Proc. 1001043-56.2018.8.26.0411) (R$ 30.725,23)(Obs.: Sobre a parte da cônjuge não incide desconto)Descrição completa: Conforme artigo 893 do CPC, lotes unificados terão preferência sobre os lotes desmembrados, assim, havendo lance no lote unificado, encerra-se a disputa nos lotes desmembrados. PACAEMBU/SP"
Leilões Judiciais,Casa,"R$ 8.239,76",http://www.rigolonleiloes.com.br/externo/lote/detalhes/2512669,"Parte ideal de 25% sobre casa de madeira, terreno c/526,29m², lote 06, quadra 97, Av. Osvaldo Cruz, Cad. Mun. 00174600-6, CRI 5.199 de Pacaembu/SP. (Usufruto) (PARCELAMENTO DA ARREMATAÇÃO EM ATÉ 30X, SENDO QUE 25% DO VALOR DA ARREMATAÇÃO DEVE SER PAGO À VISTA) (Proc. 1000607-05.2015.8.26.0411) (R$ 13.732,94) IRAPURU/SP"
Leilões Judiciais,Terreno,"R$ 24.580,17",http://www.rigolonleiloes.com.br/externo/lote/detalhes/2512657,"Terreno c/ 360m², lote 06, quadra 135, R. Minas Gerais, Jardim Marajá, CRI 11.071. (PARCELAMENTO DA ARREMATAÇÃO EM ATÉ 30X, SENDO QUE 25% DO VALOR DA ARREMATAÇÃO DEVE SER PAGO À VISTA) (Proc. 1001043-56.2018.8.26.0411) (R$ 30.725,23)(Obs.: Sobre a parte da cônjuge não incide desconto)Descrição completa: Conforme artigo 893 do CPC, lotes unificados terão preferência sobre os lotes desmembrados, assim, havendo lance no lote unificado, encerra-se a disputa nos lotes desmembrados. PACAEMBU/SP"
Leilões Judiciais,Terreno,"R$ 24.580,17",http://www.rigolonleiloes.com.br/externo/lote/detalhes/2512658,"Terreno c/ 360m², lote 07, quadra 135, R. Minas Gerais, Jardim Marajá, CRI 11.072. (PARCELAMENTO DA ARREMATAÇÃO EM ATÉ 30X, SENDO QUE 25% DO VALOR DA ARREMATAÇÃO DEVE SER PAGO À VISTA) (Proc. 1001043-56.2018.8.26.0411) (R$ 30.725,23)(Obs.: Sobre a parte da cônjuge não incide desconto)Descrição completa: Conforme artigo 893 do CPC, lotes unificados terão preferência sobre os lotes desmembrados, assim, havendo lance no lote unificado, encerra-se a disputa nos lotes desmembrados. PACAEMBU/SP"
Leilões Judiciais,Terreno,"R$ 24.580,17",http://www.rigolonleiloes.com.br/externo/lote/detalhes/2512659,"Terreno c/ 360m², lote 08, quadra 135, R. Ceará, Jardim Marajá, CRI 11.073.(PARCELAMENTO DA ARREMATAÇÃO EM ATÉ 30X, SENDO QUE 25% DO VALOR DA ARREMATAÇÃO DEVE SER PAGO À VISTA) (Proc. 1001043-56.2018.8.26.0411) (R$ 30.725,23)(Obs.: Sobre a parte da cônjuge não incide desconto)Descrição completa: Conforme artigo 893 do CPC, lotes unificados terão preferência sobre os lotes desmembrados, assim, havendo lance no lote unificado, encerra-se a disputa nos lotes desmembrados. PACAEMBU/SP"
Leilões Judiciais,Casa,"R$ 92.031,02",http://www.rigolonleiloes.com.br/externo/lote/detalhes/2513409,"Casa, terreno c/287m², lotes 01, 03 e 04, quadra G, R. Ulisses Guimarães, 361, Cad. Muni. 00.05.03.28.00, CRI 6.964. (Proc. 1000974-90.2021.8.26.0646) (R$ 92.031,02) URANIA/SP"
Leilões Judiciais,Terreno,"R$ 55.193,44",http://www.rigolonleiloes.com.br/externo/lote/detalhes/2511894,"Terreno c/ 572,62m², lote 33, quadra A, R. Projetada 01, Lot. Recanto dos Tucunarés, CRI 35.819. (PARCELAMENTO DA ARREMATAÇÃO EM ATÉ 30X, SENDO QUE 25% DO VALOR DA ARREMATAÇÃO DEVE SER PAGO À VISTA)  (Proc.  0004451-92.2001.8.26.0306) (R$ 91.989,08)(Obs. O lado esquerdo do terreno é divisa com a Área da A.E.S. Tiete (Represa de Promissão)(Obs.: Imóveis devidamente regularizados e prontos para receber edificações. O loteamento é dividido ao meio pela rua Projetada 1, que na verdade é uma Avenida, pois contém duas pistas. Os lotes que ficam do lado de cima da avenida são denominados lotes secos, e os do lado de baixo, que fazem limite com o lago da represa de Promissão, são denominados lotes molhados. O lote em referência fica do lado de baixo da Avenida, portanto, fazem limite com a Área de Preservação Permanente, área verde limítrofe ao Lago. )   MENDONCA/SP"
Leilões Judiciais,Terreno,"R$ 24.580,17",http://www.rigolonleiloes.com.br/externo/lote/detalhes/2512656,"Terreno c/ 360m², lote 05, quadra 135, R. São Salvador c/ R. Ceará, Jardim Marajá, CRI 11.070. (PARCELAMENTO DA ARREMATAÇÃO EM ATÉ 30X, SENDO QUE 25% DO VALOR DA ARREMATAÇÃO DEVE SER PAGO À VISTA) (Proc. 1001043-56.2018.8.26.0411) (R$ 30.725,23)(Obs.: Sobre a parte da cônjuge não incide desconto)Descrição completa: Conforme artigo 893 do CPC, lotes unificados terão preferência sobre os lotes desmembrados, assim, havendo lance no lote unificado, encerra-se a disputa nos lotes desmembrados. PACAEMBU/SP"
Leilões Judiciais,Chácara,"R$ 80.612,02",http://www.rigolonleiloes.com.br/externo/lote/detalhes/2512544,"Parte ideal de 25% sobre chácara c/ 3,63 hectares, Chácara Dois Irmãos, na Faz. Marinheiro, Estrada Municipal VTG-070 que liga Votuporanga a Valentim Gentil, INCRA 950.025.716.278-3, CRI 37.552. (EFEITOS SUSPENSOS) (PARCELAMENTO DA ARREMATAÇÃO EM ATÉ 30X, SENDO QUE 25% DO VALOR DA ARREMATAÇÃO DEVE SER PAGO À VISTA) (Proc. 1007414-53.2018.8.26.0664) (R$ 80.612,02)(Obs.: O imóvel possui uma pequena “Área de Preservação Permanente”.)(Obs.: No Agravo de Instrumento (2022811-51.2022.8.26.0000), foi deferida parcialmente a tutela de urgência, suspendendo-se tão somente a expedição de qualquer carta (arrematação etc.), bem como o registro de eventual alienação, com observação de que os leilões serão realizados, mas sem expedição de carta a respeito ou levantamento de valores até que haja análise mais aprofundada das questões suscitadas no recurso.) ALVARES FLORENCE/SP"
Leilões Judiciais,Terreno,"R$ 50.423,59",http://www.rigolonleiloes.com.br/externo/lote/detalhes/2511895,"Terreno c/ 470,54m², lote 34, quadra A, R. Projetada 01, Lot. Recanto dos Tucunarés, CRI 35.820. (PARCELAMENTO DA ARREMATAÇÃO EM ATÉ 30X, SENDO QUE 25% DO VALOR DA ARREMATAÇÃO DEVE SER PAGO À VISTA)  (Proc.  0004451-92.2001.8.26.0306 ) (R$ 84.039,32)(Obs.: Imóveis devidamente regularizados e prontos para receber edificações. O loteamento é dividido ao meio pela rua Projetada 1, que na verdade é uma Avenida, pois contém duas pistas. Os lotes que ficam do lado de cima da avenida são denominados lotes secos, e os do lado de baixo, que fazem limite com o lago da represa de Promissão, são denominados lotes molhados. O lote em referência fica do lado de baixo da Avenida, portanto, fazem limite com a Área de Preservação Permanente, área verde limítrofe ao Lago. )  MENDONCA/SP"
Leilões Judiciais,Casa,"R$ 82.754,30",http://www.rigolonleiloes.com.br/externo/lote/detalhes/2511960,"Casa 115,90m², terreno c/ 370,24m², parte dos lotes 07, 02, 03 e 08, área A-1, quadra 54, R. Dr. Dermeval Franceschi, 628, Cad. Mun. 10.2476-00, CRI 16.885 (PARCELAMENTO DA ARREMATAÇÃO EM ATÉ 30X, SENDO QUE 25% DO VALOR DA ARREMATAÇÃO DEVE SER PAGO À VISTA) (Proc. 1501143-30.2019.8.26.0439) (R$ 82.754,30) PEREIRA BARRETO/SP"
Leilões Judiciais,Terreno,"R$ 91.859,89",http://www.danieloliveiraleiloes.com.br/externo/lote/detalhes/2512726,"Terreno c/ 262,50m², lote 09, quadra 11, R. Arthur Pilla, Lot. Jd. Bela Vista, CRI 18.683. (PARCELAMENTO DA ARREMATAÇÃO EM ATÉ 30X, SENDO QUE 25% DO VALOR DA ARREMATAÇÃO DEVE SER PAGO À VISTA) (Proc. 1500127-14.2020.8.26.0081) (R$ 91.859,89) ADAMANTINA/SP"
Leilões Judiciais,Apartamento,"R$ 85.248,00",http://www.gilsonleiloes.com.br/externo/lote/detalhes/2511823,"Direitos aquisitivos sobre apartamento 31 c/ 49,87m² (42,97m² de  área privativa e 6,90m² de área comum), c/ direito de uma vaga de garagem, 2º andar, Bloco 04, Residencial Santa Terezinha I, R. Julieta de Mancilha Passos, 520, Cad. Mun. 44132.63.31.08000.40.009, CRI 78.654. (PARCELAMENTO DA ARREMATAÇÃO EM ATÉ 30X, SENDO QUE 25% DO VALOR DA ARREMATAÇÃO DEVE SER PAGO À VISTA) (Proc. 1005601-69.2020.8.26.0292) (R$ 85.248,00) JACAREI/SP"
Leilões Judiciais,Terreno,"R$ 52.816,43",http://www.gilsonleiloes.com.br/externo/lote/detalhes/2511883,"Terreno c/ 140m², lote 20, quadra S, Lot. Nova Esperança, R. Alceu Carvalho de Faria, nº 136, Cad. Municipal SO-22.05.19.049-00, CRI 67.730. (PARCELAMENTO DA ARREMATAÇÃO EM ATÉ 30X, SENDO QUE 25% DO VALOR DA ARREMATAÇÃO DEVE SER PAGO À VISTA) (Proc. 4000410.62.2013.8.26.0445) (R$ 66.020,54) ("
Leilões Judiciais,Casa,"R$ 54.713,23",http://www.rigolonleiloes.com.br/externo/lote/detalhes/2511692,"Parte ideal de 50% sobre casa, terreno c/ aprox. 453,90m², quadra 07, R. Maria Quitéria, 387, Vila Yolanda, Cad. Mun. 375200, CRI 2.360. (PARCELAMENTO DA ARREMATAÇÃO EM ATÉ 30 MESES, SENDO QUE 25% DO VALOR DA ARREMATAÇÃO DEVE SER PAGO À VISTA) (Proc. 0003605-68.2002.8.26.0491) (R$ 91.188,72)(Obs.: No imóvel constava duas casas, mas 01 foi demolida) RANCHARIA/SP"
Leilões Judiciais,Terreno,"R$ 72.791,23",http://www.rigolonleiloes.com.br/externo/lote/detalhes/2512446,"Terreno c/ 320,30m² , lote 06, quadra A, Av. Patrocínio Hipólito Pedroso, Lot. Residencial Israel Luciano Vieira, Cad. Muni. 01.02.279.0080.001, CRI 26.817.(PARCELAMENTO DA ARREMATAÇÃO EM ATÉ 30X, SENDO QUE 25% DO VALOR DA ARREMATAÇÃO DEVE SER PAGO À VISTA) (Proc. 0002254-37.2019.8.26.0306) (R$ 72.791,23) JOSE BONIFACIO/SP"
Leilões Judiciais,Não Identificado,"R$ 50.000,00",http://www.gilsonleiloes.com.br/externo/lote/detalhes/2482707,SIMULAÇÃO DE LEILÃO - Descrição do bem
